day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
54,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,29,24,6,9,0,2,2,5,0,0,1,16,0,0,4,6,0,2,26,59,0,3,2,39,0,0,-1889,0.0,19,0,939,19,0,0,0
55,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,38,41,8,12,1,2,4,12,1,1,0,12,0,1,6,19,0,0,30,50,1,3,4,39,1,1,-1548,0.0,22,1,437,23,0,0,0
56,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,44,13,1,4,2,0,0,5,0,1,7,15,0,2,3,17,0,0,29,48,2,0,1,36,0,1,-2343,0.0,26,1,1032,27,0,0,0
57,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,59,58,8,22,0,3,7,17,0,1,2,24,0,2,3,28,0,0,27,57,0,3,7,45,0,1,-2913,0.0,42,0,813,42,0,0,0
58,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,50,0,0,0,0,0,0,0,0,0,5,22,0,6,1,16,0,0,20,47,0,0,6,39,0,0,-2549,0.0,37,0,699,37,0,0,0
59,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,46,60,9,23,3,1,5,19,0,0,6,22,0,5,2,7,0,4,26,61,3,1,6,53,0,0,-2605,0.0,27,1,1244,28,0,0,0
60,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,34,0,0,0,0,0,0,0,0,0,5,6,2,2,1,12,0,6,18,49,0,0,2,41,0,0,-1217,0.0,21,0,167,21,0,0,0
61,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,57,54,10,20,0,1,2,20,0,1,7,18,0,2,4,22,0,4,25,65,0,1,3,55,0,1,-4307,0.0,41,1,2246,42,0,0,0
62,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,68,0,0,0,0,0,0,0,0,0,7,20,0,7,7,18,6,3,19,43,0,0,0,39,0,0,-2622,0.0,52,2,0,54,0,0,0
63,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,65,65,7,26,2,2,6,20,0,2,6,21,0,8,5,21,0,4,22,64,2,2,6,52,0,2,-3658,0.0,38,2,1736,40,0,0,0
