Start training
	Val_loss: 3.6593 	Val_acc: 2.04
Train Epoch: 167 	Train_loss: 0.5047 	Train_acc: 32.58
	Val_loss: 3.7098 	Val_acc: 2.03
Train Epoch: 168 	Train_loss: 0.5059 	Train_acc: 32.46
	Val_loss: 3.7162 	Val_acc: 2.06
Train Epoch: 169 	Train_loss: 0.5065 	Train_acc: 32.38
	Val_loss: 3.6195 	Val_acc: 2.02
Train Epoch: 170 	Train_loss: 0.5052 	Train_acc: 32.45
	Val_loss: 3.6392 	Val_acc: 2.04
Train Epoch: 171 	Train_loss: 0.5042 	Train_acc: 32.57
	Val_loss: 3.7222 	Val_acc: 2.03
Train Epoch: 172 	Train_loss: 0.5033 	Train_acc: 32.52
	Val_loss: 3.6298 	Val_acc: 2.08
Train Epoch: 173 	Train_loss: 0.5051 	Train_acc: 32.47
	Val_loss: 3.6675 	Val_acc: 2.07
Train Epoch: 174 	Train_loss: 0.5020 	Train_acc: 32.55
	Val_loss: 3.6331 	Val_acc: 2.03
Train Epoch: 175 	Train_loss: 0.5031 	Train_acc: 32.59
	Val_loss: 3.7099 	Val_acc: 2.06
Train Epoch: 176 	Train_loss: 0.5046 	Train_acc: 32.54
	Val_loss: 3.6619 	Val_acc: 2.07
Train Epoch: 177 	Train_loss: 0.5032 	Train_acc: 32.47
	Val_loss: 3.6609 	Val_acc: 2.07
Train Epoch: 178 	Train_loss: 0.5031 	Train_acc: 32.41
	Val_loss: 3.6617 	Val_acc: 2.05
Train Epoch: 179 	Train_loss: 0.5035 	Train_acc: 32.54
	Val_loss: 3.6935 	Val_acc: 2.04
Train Epoch: 180 	Train_loss: 0.5034 	Train_acc: 32.54
	Val_loss: 3.6950 	Val_acc: 2.04
Train Epoch: 181 	Train_loss: 0.5001 	Train_acc: 32.59
	Val_loss: 3.6454 	Val_acc: 2.05
Train Epoch: 182 	Train_loss: 0.5023 	Train_acc: 32.59
	Val_loss: 3.6297 	Val_acc: 2.08
Train Epoch: 183 	Train_loss: 0.5009 	Train_acc: 32.54
	Val_loss: 3.6366 	Val_acc: 2.13
Train Epoch: 184 	Train_loss: 0.5008 	Train_acc: 32.56
	Val_loss: 3.6651 	Val_acc: 2.09
Train Epoch: 185 	Train_loss: 0.5009 	Train_acc: 32.64
	Val_loss: 3.6572 	Val_acc: 2.04
Train Epoch: 186 	Train_loss: 0.5008 	Train_acc: 32.53
	Val_loss: 3.6495 	Val_acc: 2.06
Train Epoch: 187 	Train_loss: 0.5010 	Train_acc: 32.63
	Val_loss: 3.7220 	Val_acc: 2.02
Train Epoch: 188 	Train_loss: 0.5021 	Train_acc: 32.50
	Val_loss: 3.6594 	Val_acc: 2.08
Train Epoch: 189 	Train_loss: 0.5008 	Train_acc: 32.51
	Val_loss: 3.6831 	Val_acc: 2.06
Train Epoch: 190 	Train_loss: 0.4991 	Train_acc: 32.64
	Val_loss: 3.7300 	Val_acc: 1.99
Train Epoch: 191 	Train_loss: 0.4996 	Train_acc: 32.65
	Val_loss: 3.6981 	Val_acc: 2.03
Train Epoch: 192 	Train_loss: 0.5000 	Train_acc: 32.57
	Val_loss: 3.6766 	Val_acc: 2.04
Train Epoch: 193 	Train_loss: 0.4989 	Train_acc: 32.62
	Val_loss: 3.6150 	Val_acc: 2.06
Train Epoch: 194 	Train_loss: 0.5000 	Train_acc: 32.66
	Val_loss: 3.6256 	Val_acc: 2.10
Train Epoch: 195 	Train_loss: 0.4995 	Train_acc: 32.60
	Val_loss: 3.6288 	Val_acc: 2.07
Train Epoch: 196 	Train_loss: 0.5000 	Train_acc: 32.61
	Val_loss: 3.6596 	Val_acc: 2.07
Train Epoch: 197 	Train_loss: 0.4986 	Train_acc: 32.68
	Val_loss: 3.6142 	Val_acc: 2.06
Train Epoch: 198 	Train_loss: 0.4990 	Train_acc: 32.47
	Val_loss: 3.6485 	Val_acc: 2.07
Train Epoch: 199 	Train_loss: 0.4999 	Train_acc: 32.66
	Val_loss: 3.7258 	Val_acc: 2.02
Train Epoch: 200 	Train_loss: 0.5010 	Train_acc: 32.58
	Val_loss: 3.6935 	Val_acc: 2.05
Train Epoch: 201 	Train_loss: 0.4955 	Train_acc: 32.78
	Val_loss: 3.6312 	Val_acc: 2.08
Train Epoch: 202 	Train_loss: 0.4993 	Train_acc: 32.63
	Val_loss: 3.6401 	Val_acc: 2.03
Train Epoch: 203 	Train_loss: 0.4979 	Train_acc: 32.66
	Val_loss: 3.6760 	Val_acc: 2.08
Train Epoch: 204 	Train_loss: 0.4943 	Train_acc: 32.83
	Val_loss: 3.6686 	Val_acc: 2.05
Train Epoch: 205 	Train_loss: 0.4977 	Train_acc: 32.73
	Val_loss: 3.6170 	Val_acc: 2.08
Train Epoch: 206 	Train_loss: 0.4970 	Train_acc: 32.68
	Val_loss: 3.6563 	Val_acc: 2.09
Train Epoch: 207 	Train_loss: 0.4974 	Train_acc: 32.64
	Val_loss: 3.6840 	Val_acc: 2.08
Train Epoch: 208 	Train_loss: 0.4977 	Train_acc: 32.63
	Val_loss: 3.6766 	Val_acc: 2.06
Train Epoch: 209 	Train_loss: 0.4971 	Train_acc: 32.68
	Val_loss: 3.6698 	Val_acc: 2.05
Train Epoch: 210 	Train_loss: 0.4947 	Train_acc: 32.70
	Val_loss: 3.6991 	Val_acc: 2.04
Train Epoch: 211 	Train_loss: 0.4977 	Train_acc: 32.63
	Val_loss: 3.6458 	Val_acc: 2.04
Train Epoch: 212 	Train_loss: 0.4960 	Train_acc: 32.62
	Val_loss: 3.6811 	Val_acc: 2.05
Train Epoch: 213 	Train_loss: 0.4962 	Train_acc: 32.69
	Val_loss: 3.6081 	Val_acc: 2.08
Train Epoch: 214 	Train_loss: 0.4971 	Train_acc: 32.67
	Val_loss: 3.6973 	Val_acc: 2.04
Train Epoch: 215 	Train_loss: 0.4975 	Train_acc: 32.64
	Val_loss: 3.6165 	Val_acc: 2.08
Train Epoch: 216 	Train_loss: 0.4951 	Train_acc: 32.74
	Val_loss: 3.6167 	Val_acc: 2.06
Train Epoch: 217 	Train_loss: 0.4945 	Train_acc: 32.72
	Val_loss: 3.5928 	Val_acc: 2.09
Train Epoch: 218 	Train_loss: 0.4958 	Train_acc: 32.66
	Val_loss: 3.6215 	Val_acc: 2.09
Train Epoch: 219 	Train_loss: 0.4952 	Train_acc: 32.75
	Val_loss: 3.6620 	Val_acc: 2.04
Train Epoch: 220 	Train_loss: 0.4943 	Train_acc: 32.73
	Val_loss: 3.6608 	Val_acc: 2.09
Train Epoch: 221 	Train_loss: 0.4952 	Train_acc: 32.67
	Val_loss: 3.6467 	Val_acc: 2.11
Train Epoch: 222 	Train_loss: 0.4941 	Train_acc: 32.76
	Val_loss: 3.6336 	Val_acc: 2.05
Train Epoch: 223 	Train_loss: 0.4940 	Train_acc: 32.74
	Val_loss: 3.6471 	Val_acc: 2.06
Train Epoch: 224 	Train_loss: 0.4950 	Train_acc: 32.69
	Val_loss: 3.6168 	Val_acc: 2.09
Train Epoch: 225 	Train_loss: 0.4952 	Train_acc: 32.71
	Val_loss: 3.6337 	Val_acc: 2.06
Train Epoch: 226 	Train_loss: 0.4922 	Train_acc: 32.78
	Val_loss: 3.6723 	Val_acc: 2.07
Train Epoch: 227 	Train_loss: 0.4941 	Train_acc: 32.76
	Val_loss: 3.5967 	Val_acc: 2.12
Train Epoch: 228 	Train_loss: 0.4928 	Train_acc: 32.85
	Val_loss: 3.6390 	Val_acc: 2.09
Train Epoch: 229 	Train_loss: 0.4946 	Train_acc: 32.68
	Val_loss: 3.6139 	Val_acc: 2.06
Train Epoch: 230 	Train_loss: 0.4919 	Train_acc: 32.75
	Val_loss: 3.6353 	Val_acc: 2.08
Train Epoch: 231 	Train_loss: 0.4937 	Train_acc: 32.69
	Val_loss: 3.6466 	Val_acc: 2.08
Train Epoch: 232 	Train_loss: 0.4929 	Train_acc: 32.77
	Val_loss: 3.6970 	Val_acc: 2.09
Train Epoch: 233 	Train_loss: 0.4909 	Train_acc: 32.83
	Val_loss: 3.6326 	Val_acc: 2.09
